Guest_ID,Gender,Frequent_Traveler,Age,Type,Flight_Class,Points,Room,Check-in/Check-out,F&B,Location,Wifi,Entertainment,Gym,Spa,Staff,Pool,Baggage_Handling,Reception,Cleanliness,Online_Booking,Deposit_Kept,Time_Room_Service,Repeater
19346,Male,1,30,Business travel,Eco,2695,3,5,5,5,2,3,3,4,2,3,3,3,3,3,187,20.2,0
21830,Male,1,57,Personal Travel,Eco,2057,2,1,2,4,3,2,3,3,2,5,3,4,3,3,0,1.2,0
17626,Female,1,16,Personal Travel,Eco,1478,2,2,2,2,3,4,4,4,4,4,4,3,4,5,0,0,1
17988,Female,1,48,Business travel,Business,2304,3,1,1,1,3,3,3,1,2,4,4,3,2,3,147,15,0
16703,Female,1,52,Business travel,Eco,73,3,3,3,3,1,2,4,3,3,3,3,4,3,3,6,1,1
15370,Male,0,15,Business travel,Eco,2005,3,3,3,2,3,3,4,3,2,4,2,2,5,3,0,0,0
22257,Male,1,56,Business travel,Business,1917,1,1,1,1,4,4,4,5,5,5,5,3,5,3,59,4.4,1
20565,Female,1,39,Business travel,Eco,1549,5,2,2,2,5,5,5,5,4,1,3,4,1,5,0,0,1
12935,Male,1,49,Business travel,Eco Plus,1399,4,5,5,5,4,4,4,4,4,2,1,4,1,4,0,0,1
13236,Female,1,43,Personal Travel,Eco,1859,3,4,3,1,3,5,5,4,3,5,5,5,5,5,253,24.5,0
14717,Male,1,41,Personal Travel,Eco Plus,2427,2,5,2,4,1,2,1,1,5,4,4,5,5,1,5,0,0
19784,Female,1,41,Business travel,Business,3630,3,3,5,3,2,5,4,3,3,4,3,4,3,4,0,0,1
17538,Female,1,46,Business travel,Eco,523,4,2,5,2,4,1,4,4,4,4,4,2,4,5,0,0,1
21554,Female,1,40,Business travel,Business,1381,3,2,2,2,2,4,4,3,3,4,3,3,3,3,85,6.4,0
21580,Female,1,48,Personal Travel,Eco,1825,3,3,3,3,2,5,5,4,4,5,4,3,4,5,0,0,1
15878,Male,1,38,Business travel,Eco,2307,2,1,1,1,2,2,2,2,1,1,2,2,3,2,23,4.5,0
11865,Male,1,58,Personal Travel,Eco,2509,3,5,3,3,2,3,2,2,5,5,5,4,4,2,0,0,0
20020,Female,1,24,Personal Travel,Eco,1659,1,1,1,1,5,3,3,4,4,4,4,1,4,4,2,0,1
18888,Male,1,33,Personal Travel,Eco,1962,3,1,3,3,3,3,3,3,2,2,2,4,2,3,3,0,0
15307,Male,0,25,Business travel,Eco,2005,3,0,3,3,4,3,4,4,2,3,2,5,4,4,0,0,0
11155,Female,1,36,Business travel,Business,63,0,4,0,4,4,4,5,4,4,4,4,3,4,3,0,0.2,1
20684,Male,1,53,Business travel,Business,1407,1,2,2,2,4,4,3,1,1,1,1,4,1,3,0,0.9,0
11092,Female,1,42,Business travel,Business,1563,4,4,4,4,4,5,5,5,5,5,5,5,5,4,8,1.9,1
22323,Female,0,31,Business travel,Business,2968,2,2,2,2,3,2,3,3,4,5,5,3,5,3,0,0,0
20778,Female,1,18,Personal Travel,Eco,1203,5,0,0,1,4,4,4,2,2,0,2,3,2,5,26,3.6,1
16488,Male,1,67,Personal Travel,Eco,1608,4,4,4,3,5,4,5,5,4,3,5,5,4,5,0,0,0
15992,Female,1,21,Personal Travel,Eco,2360,5,5,5,1,4,5,3,4,5,5,4,4,4,4,0,0,1
22883,Male,1,47,Business travel,Business,1649,5,5,5,5,2,3,2,4,4,4,4,5,4,5,0,0,1
16056,Female,1,30,Personal Travel,Eco,1187,4,4,4,4,3,4,3,3,1,1,3,1,2,3,0,0,0
16733,Female,1,39,Business travel,Business,639,2,2,2,2,4,3,2,2,2,2,2,2,2,2,26,3.3,0
11749,Female,1,24,Business travel,Business,1139,4,4,4,4,4,4,4,4,3,5,4,5,5,4,0,0.1,1
21762,Female,1,44,Personal Travel,Business,511,4,4,4,4,2,5,4,4,4,4,4,5,4,4,7,0.5,1
20531,Male,0,23,Business travel,Eco,1959,5,0,5,4,1,5,1,1,5,5,4,4,4,1,27,4.4,1
17899,Female,1,23,Business travel,Eco Plus,2197,2,1,2,1,2,2,3,2,1,1,4,2,4,2,20,2.1,0
19797,Male,1,58,Business travel,Eco,1806,3,4,4,4,3,3,3,3,2,4,3,4,4,3,31,3.3,0
13310,Male,1,39,Business travel,Business,1121,1,1,1,1,5,4,4,4,4,4,4,5,4,5,23,1.4,1
16006,Female,1,57,Business travel,Business,3925,2,4,2,2,5,4,4,4,4,4,4,3,4,4,0,0.4,1
11407,Male,0,38,Business travel,Eco,1904,1,3,0,3,5,0,5,5,1,4,3,4,3,5,0,0.9,0
22378,Female,1,28,Personal Travel,Eco,3126,5,5,5,5,4,5,4,4,4,4,4,5,4,5,51,4.3,1
14212,Female,1,44,Personal Travel,Eco,1760,5,5,5,5,3,5,4,5,5,5,5,5,5,4,0,0,1
17714,Male,1,14,Personal Travel,Business,1357,3,3,3,2,2,3,1,2,4,3,4,3,3,2,0,0,0
22723,Male,1,32,Business travel,Business,4205,4,4,2,4,5,5,5,5,4,1,1,1,3,5,0,0,1
21054,Male,1,41,Business travel,Business,1527,1,1,1,1,2,4,4,5,5,5,5,4,5,5,0,0,1
11751,Female,1,45,Business travel,Business,2400,1,1,1,1,3,4,4,5,5,5,5,5,5,4,13,1,1
13749,Male,1,58,Business travel,Business,428,2,2,2,2,4,4,5,5,5,5,5,4,5,3,0,0,1
20399,Female,1,19,Business travel,Business,1736,1,1,1,1,1,1,1,1,3,5,2,4,3,1,0,0,0
22703,Female,1,17,Personal Travel,Eco,3745,3,1,3,2,3,5,2,1,3,1,3,2,2,2,139,14.2,0
16941,Female,1,49,Business travel,Eco,727,1,3,3,3,3,3,3,1,1,1,1,2,1,3,0,0,0
18336,Male,1,44,Business travel,Business,430,4,4,4,4,4,4,4,4,4,4,4,5,4,3,100,9.6,1
12179,Male,1,36,Business travel,Business,2624,4,4,4,4,5,5,5,3,5,5,4,5,5,5,156,20,1
12538,Female,1,49,Personal Travel,Eco,588,5,5,5,5,4,3,5,3,3,4,3,3,3,5,16,0.5,1
16690,Female,1,35,Business travel,Business,96,2,3,3,3,3,3,2,3,3,3,2,4,3,4,0,0,0
19846,Female,1,56,Business travel,Eco,489,3,2,2,2,1,3,4,3,3,3,3,1,3,4,9,0.6,0
17667,Female,1,11,Personal Travel,Eco,1802,4,2,4,3,5,4,5,5,1,3,4,4,4,5,4,0,0
21229,Female,1,24,Business travel,Business,4366,3,3,3,3,4,4,4,4,1,2,4,1,4,4,7,0,1
22739,Male,1,35,Business travel,Business,506,1,1,1,1,4,2,2,3,3,3,3,4,3,1,37,4.5,1
12601,Female,1,52,Business travel,Eco,1264,4,3,3,3,1,2,3,4,4,4,4,1,4,2,31,3.7,0
11494,Male,1,43,Business travel,Business,451,1,1,1,1,4,5,4,4,4,4,4,3,4,5,0,0.2,1
13727,Male,1,41,Business travel,Eco Plus,1399,5,4,4,4,5,5,5,5,2,5,4,3,4,5,2,0,1
16346,Female,0,22,Business travel,Eco,1465,4,5,4,4,3,4,3,3,4,5,4,4,5,3,0,0,0
10306,Male,1,54,Business travel,Business,655,1,1,1,1,4,5,5,5,5,5,5,3,5,5,12,0.8,1
15962,Female,1,29,Business travel,Business,3276,1,1,1,1,2,2,2,2,3,4,4,5,4,2,21,0.1,1
20132,Female,1,17,Personal Travel,Business,1649,3,3,3,3,5,5,5,5,4,3,4,4,5,5,50,4.3,1
14626,Male,1,49,Personal Travel,Eco,2154,2,5,2,3,2,2,2,2,3,3,5,5,2,2,17,0.8,0
12340,Male,1,40,Business travel,Business,1031,4,4,4,4,2,5,4,4,4,4,4,4,4,4,5,0,1
22927,Male,1,22,Personal Travel,Eco,3334,1,5,1,3,1,2,3,3,4,4,5,3,2,3,26,1.7,0
22245,Male,1,60,Personal Travel,Eco,1498,3,1,2,3,1,2,1,1,1,4,4,2,3,1,0,0,0
11765,Female,1,38,Personal Travel,Business,348,4,5,4,1,5,4,3,3,3,4,3,3,3,4,105,10.2,0
15812,Female,1,54,Personal Travel,Eco Plus,415,1,1,1,1,2,5,4,5,5,5,5,5,5,3,0,0,1
10338,Female,1,21,Personal Travel,Business,1960,4,4,2,4,3,5,4,2,2,2,2,3,2,4,0,0,1
18050,Male,1,58,Business travel,Business,721,3,3,3,3,4,5,5,5,5,5,5,4,5,5,0,0.4,1
15613,Female,1,51,Business travel,Eco,1875,3,3,2,3,3,3,3,4,3,3,3,3,4,3,152,16,0
15709,Female,1,46,Business travel,Eco,1252,2,3,3,3,4,5,2,2,2,2,2,2,2,1,0,0,1
21952,Male,1,46,Business travel,Business,2459,5,5,5,5,3,5,5,5,5,5,5,5,5,5,2,1.4,1
21350,Female,1,55,Business travel,Eco Plus,409,2,2,2,2,1,4,4,2,2,2,2,1,2,4,17,1.7,0
11601,Female,1,23,Personal Travel,Eco,1475,1,1,1,1,2,5,5,3,3,4,3,3,3,5,0,0,1
19085,Female,1,49,Business travel,Business,88,0,4,0,3,4,4,4,3,3,3,3,5,3,4,0,0,1
11498,Female,1,33,Personal Travel,Eco,1711,5,5,5,2,4,4,2,1,1,5,1,3,1,3,15,3.3,1
15666,Female,0,20,Business travel,Eco,2770,1,0,0,3,1,0,1,1,4,5,3,3,3,1,0,0,0
11037,Male,1,44,Business travel,Eco,1263,1,4,4,4,1,1,1,1,1,2,4,3,3,1,0,0,0
11098,Male,1,55,Business travel,Business,1428,3,5,5,5,4,3,2,3,3,3,3,1,3,4,1,0,0
15688,Female,1,27,Personal Travel,Eco,1836,3,3,3,3,2,5,4,5,5,5,5,3,5,4,0,0,1
15727,Female,1,50,Business travel,Business,717,2,2,2,2,3,4,4,4,4,4,4,4,4,3,5,2,1
11477,Female,1,45,Business travel,Business,2945,3,3,5,3,2,5,4,5,5,5,5,5,5,5,0,0,1
18374,Female,1,38,Business travel,Business,2346,4,2,2,2,4,3,3,1,1,1,4,3,1,4,62,5.6,0
18532,Female,0,39,Business travel,Business,1096,2,3,3,1,3,3,3,3,2,2,2,5,4,3,0,0,0
18091,Female,1,34,Business travel,Business,1213,3,2,2,2,4,3,4,3,3,3,3,4,3,1,11,0,0
