Guest_ID,Repeater
19847,0
12433,1
10273,1
12457,0
22903,0
22449,0
14787,1
15158,1
22185,1
14633,0
12862,1
14141,0
12410,1
22130,0
21527,1
16946,0
21437,1
18551,0
16658,1
18969,0
11242,1
17307,0
11053,0
11617,0
22904,1
22475,1
21487,1
16013,0
12692,0
18744,0
12029,0
16374,1
12825,1
16069,0
19257,1
13926,0
19172,1
19494,1
10901,1
10309,1
14372,1
10340,0
12133,1
10659,1
22155,0
22462,0
14584,0
16192,0
22500,1
15844,1
19662,0
16515,1
22523,1
16768,0
21372,0
14590,1
11001,1
12207,0
19391,1
16336,1
20579,1
17855,0
12027,1
19719,1
22995,0
19050,0
16449,1
12190,1
11282,0
21757,1
16600,0
13803,0
14725,0
10933,1
12010,1
19752,0
13596,1
15845,0
10705,0
18952,1
22902,0
12726,0
22059,1
22473,0
10019,1
14095,0
20001,1
20443,0
15599,1
22843,1
10993,1
16759,1
11956,1
19175,0
21106,1
22832,0
19230,0
18380,0
11611,0
11522,0
20146,1
17523,1
15765,1
10888,1
10750,0
14734,0
20063,0
17606,1
19588,0
16359,1
12982,0
13056,1
15184,1
17223,1
16364,0
19043,1
20827,1
11449,0
11887,0
16152,0
21132,1
10731,0
10428,0
18794,0
21618,1
12664,0
14992,1
11068,1
15826,1
16228,1
11171,1
12859,1
12296,1
13518,1
17925,0
13220,0
17694,0
17421,0
10960,0
19045,0
12585,0
12141,0
16384,0
21820,1
15803,0
18187,1
17035,1
13995,1
21491,1
14862,0
18253,0
19690,1
12775,1
17326,1
10645,0
11039,1
14066,1
18850,1
12533,0
18242,0
13607,0
22870,1
12781,0
11581,1
15222,1
17935,0
12653,1
22485,1
17397,1
12166,0
21369,0
19787,0
20769,1
21875,1
19776,0
12380,0
22729,1
18993,1
21070,1
19331,1
22706,1
20702,0
16404,1
11161,1
18048,1
21724,0
11655,1
15472,0
11929,1
19593,0
15046,1
11519,0
15608,0
19116,1
17723,0
10946,1
19005,1
15477,1
21476,1
10817,0
20805,0
10848,1
15755,1
15442,0
12967,1
20532,0
14990,1
20418,0
19673,1
10604,1
18328,0
12149,1
10819,0
20818,1
17279,1
14561,0
22845,0
11759,1
15004,1
13844,0
11941,0
21111,0
18990,1
11998,1
20678,0
22892,1
22932,1
16117,1
14430,1
17806,0
17430,0
22079,1
10154,1
11167,0
10913,0
13443,1
12884,0
17712,0
17519,0
16342,0
19158,1
16465,0
10507,1
20176,1
20636,0
11156,0
20943,1
12821,0
13089,1
21117,0
22332,0
15427,1
13335,1
17753,0
16133,1
21810,1
16339,0
20762,1
13308,1
12378,1
12188,0
12187,0
19330,1
17911,1
10408,0
21936,0
12810,1
11349,1
13090,0
21000,0
12754,1
12960,1
20015,0
15151,0
18903,1
21439,1
12228,0
18177,1
21727,0
16261,0
10149,1
15856,0
21506,1
16019,1
22023,0
11453,1
13890,0
12336,0
11417,0
21459,0
12038,1
15546,0
15989,0
12621,0
18011,0
13001,1
12227,1
19275,1
20597,0
13406,1
18838,0
22045,0
17840,1
17488,0
20188,1
10287,1
11036,1
15518,1
17113,1
14969,1
10741,0
22464,1
20447,1
22820,1
18895,1
22888,1
14453,0
17061,1
16520,0
12938,1
17195,0
17611,0
17730,0
11038,1
12012,1
16684,1
19724,0
10411,1
10373,1
17044,0
13193,1
19046,0
16659,1
14277,0
21194,1
18107,1
17472,0
15135,0
21708,1
12103,1
10015,1
10302,0
18992,0
18063,1
15476,0
12323,0
13935,1
11120,0
19323,0
12783,1
12254,1
17218,1
19406,0
10054,1
14680,0
10460,1
11507,1
15848,0
12861,1
10632,1
17866,1
13944,0
17269,1
18542,0
11544,1
10566,1
18178,1
16504,0
18576,0
11437,1
19357,1
18160,0
13108,0
16264,1
10591,1
16535,1
18533,1
10087,0
10319,1
15367,0
12839,0
21609,1
18241,1
19606,1
19333,0
13356,0
15030,1
10814,0
20559,1
22333,1
20103,0
19669,1
21084,1
17767,0
15879,1
12787,0
18225,0
11117,1
17032,1
14668,1
20147,0
16277,0
14280,1
22487,0
13292,0
22940,1
19643,1
19405,1
19883,0
13979,1
10344,0
17259,0
12150,1
11457,1
21880,1
20117,0
15157,1
10028,0
16862,1
21279,1
22674,1
20129,1
12009,0
21994,1
15373,0
19095,0
14002,1
14208,1
21670,0
12514,0
20196,1
19969,0
19319,1
20369,0
18418,0
13087,1
17559,1
19677,1
21951,1
21890,0
18082,1
12435,1
11557,0
12174,1
21448,1
18492,0
12208,0
16190,0
15244,0
16233,0
16665,0
22947,1
14801,0
16270,1
19187,0
16644,1
13753,1
10613,1
21353,1
18204,1
12474,1
13584,1
20526,0
21999,1
13869,0
11142,0
19019,1
15661,0
14363,1
15721,1
17853,1
15261,1
15694,0
12755,1
14706,1
11965,1
22446,1
12106,0
16661,0
14804,1
18388,1
21505,1
11109,0
12499,0
12146,1
17180,1
13977,0
10983,0
18410,1
17860,0
14648,1
12483,1
17467,0
12099,0
12456,0
19775,1
16771,0
13581,1
22409,1
10213,0
17353,1
18424,0
14564,1
11723,0
13340,0
11447,0
22319,1
15810,0
13140,0
15467,1
12002,1
15390,0
21848,1
12630,0
14863,0
11147,1
10952,0
10540,1
19091,0
11154,0
18501,1
22486,0
20822,0
15230,0
11151,1
14953,0
20930,1
18367,0
18996,0
13705,0
13337,0
10137,0
12846,1
19274,1
11131,1
16196,1
22340,1
10162,1
21443,1
10257,1
20229,1
12691,1
10502,1
14001,0
12683,0
14654,1
11179,1
12203,0
20130,0
13872,1
14206,1
14186,1
16141,0
17680,1
20626,1
19044,0
12156,1
15881,0
11326,0
19974,0
17100,1
17429,1
20994,0
21782,1
16089,0
20003,0
18101,1
13855,0
10777,1
11049,1
15379,0
13015,1
20264,0
15315,0
14297,1
18662,0
13940,0
17340,0
11626,0
18375,1
20088,1
12092,1
18303,0
13104,1
11961,0
13928,1
11091,1
16629,0
17797,0
13564,1
19289,1
20375,0
11502,0
15704,0
14889,1
22673,1
11034,0
15235,1
22472,1
11054,1
17704,0
21586,1
18763,1
12767,1
12868,1
16968,0
12710,0
20070,1
17760,0
21071,1
22159,1
20286,0
18651,0
14697,1
12735,1
20338,0
17518,1
22154,1
19872,0
16625,1
19574,0
20450,0
17795,1
13366,1
17485,0
12663,1
18547,1
16409,0
10669,0
10802,0
10704,0
13561,1
12748,1
10492,1
10862,1
15003,0
15310,0
11442,0
11559,0
14446,0
16237,1
10059,0
18678,0
12922,1
21409,0
22587,1
10713,0
11420,0
14750,0
11763,0
16547,1
10152,0
16963,1
13422,0
10640,1
18639,1
14810,0
11822,0
21546,0
11781,1
20013,1
13642,0
12318,1
19324,0
15900,0
16748,1
14890,0
19051,1
11651,1
18653,0
22252,1
12912,0
18659,0
20274,1
13374,0
10754,1
22015,0
18538,0
14318,0
16357,1
18573,0
22854,0
22813,0
14225,0
14623,1
10146,1
12327,0
20016,1
18918,1
12101,1
13776,1
15726,1
17885,0
21400,1
21081,1
22488,1
21849,0
21477,1
16618,1
17931,0
15065,1
20310,1
21544,1
15768,1
11233,0
10058,1
11478,0
15859,1
14429,1
16029,1
21754,0
19383,1
13138,0
21665,1
10497,0
11028,1
18247,0
16378,0
10891,0
18132,0
16149,1
18565,0
11600,1
13285,0
22758,1
13141,0
16834,0
21661,0
13074,0
15282,1
11176,1
19768,0
16135,1
12481,1
11378,1
18447,0
21828,1
11686,1
20170,1
10674,0
11244,1
20094,1
18512,0
20359,0
20878,0
10325,0
19229,1
18395,0
14908,1
22761,1
16824,1
13594,1
20191,1
11127,1
15986,0
20917,1
17506,1
12205,0
16279,0
19938,0
16363,0
20192,1
20651,1
17389,1
10183,1
22975,1
16434,0
21189,1
13757,0
10563,0
16308,1
20812,0
14321,0
21797,0
20705,1
14600,0
19049,0
14792,0
10379,0
15286,1
10074,0
11880,1
15418,0
12796,0
22970,1
20143,1
11136,1
19827,0
18537,0
12402,1
20183,1
22217,0
14489,0
16678,0
16937,1
18816,1
19772,1
20012,1
22531,0
11350,1
15730,1
10919,1
19714,0
15435,1
