Employee_ID,Gender,Age,Days_off,Rotations,Satis_leader,Satis_team,Emails,Tenure,Bonus,Distance,Kids,Overtime,Marital_status,Department,Churn_risk
1000001,female,38,6,1,0.364741641,0.832,4,1.095890411,0.356,3.33,1,12.8,married,computer services,medium
1000002,female,37,8,1,0.37993921,1.28,26,13.36986301,0.801,3.22,1,9.7,married,human resources,low
1000003,male,36,6,1,0.303951368,1.104,29,14.68493151,0.382,3.11,1,9.8,married,finances,low
1000004,male,27,5,1,0.273556231,0.624,30,11.50684932,-0.005,3.48,1,12.5,together,computer services,medium
1000005,male,30,8,1,0.212765957,2.272,5,7.561643836,0.26,3.14,1,10.1,together,sales,low
1000006,female,45,8,1,0.349544073,1.456,10,2.520547945,0.786,3.24,1,10.5,married,finances,low
1000007,male,31,4,1,0.167173252,2.16,61,15.78082192,0.27,3.12,0,9.3,together,computer services,medium
1000008,female,36,11,0,0.258358663,1.216,17,3.397260274,0.64,3.33,1,10,married,accounting,medium
1000009,male,34,7,1,0.197568389,0.912,25,18.95890411,0.48,3.26,1,9.1,together,marketing,medium
1000010,male,31,6,1,1.215805471,0.576,21,13.5890411,0.362,3.06,0,10.8,together,finances,medium
1000011,male,35,5,1,2.788753799,1.344,33,15.23287671,1.11,3.17,0,8.8,together,finances,low
1000012,female,30,11,0,0.273556231,1.248,17,7.123287671,0.294,3.33,1,10.5,together,marketing,medium
1000013,male,42,6,1,1.003039514,0.688,11,8,0.38,2.9,0,11.6,married,human resources,low
1000014,female,40,6,1,0.243161094,1.808,12,4.054794521,0.69,3.25,1,9.5,married,finances,low
1000015,female,36,19,0,0.303951368,0.752,15,6.575342466,0.55,3.36,0,10.9,married,sales,low
1000016,male,31,5,1,1.565349544,1.264,37,13.36986301,0.662,3.02,0,8.8,together,sales,low
1000017,male,31,5,1,1.261398176,0.752,54,20.93150685,0.54,3.23,0,10.3,together,sales,medium
1000018,male,33,4,1,1.306990881,0.896,26,12.16438356,0.56,2.95,1,9.5,together,sales,low
1000019,female,54,9,1,0.243161094,2.352,36,5.589041096,0.836,3.38,1,9.9,married,sales,low
1000020,male,36,6,1,0.197568389,0.816,16,10.52054795,0.41,3.32,1,10,married,human resources,low
1000021,female,37,7,1,0.258358663,1.232,18,4.931506849,0.625,3.29,1,9.3,married,marketing,low
1000022,male,30,5,1,1.079027356,0.64,35,17.75342466,0.56,3.39,1,9.9,together,computer services,medium
1000023,female,35,15,0,1.23100304,1.568,30,10.08219178,0.892,3.2,1,9.2,together,sales,low
1000024,male,33,4,1,0.410334347,0.544,23,12.16438356,0.405,3.35,1,10.2,together,computer services,low
1000025,male,29,3,1,0.197568389,0.736,18,7.232876712,0.307,3.61,1,10.3,together,sales,medium
1000026,male,31,11,0,0.37993921,0.496,48,12.16438356,0.06,3.14,0,11.9,together,finances,low
1000027,male,36,5,1,0.972644377,0.8,36,17.8630137,0.37,3.19,1,11.5,married,computer services,medium
1000028,male,34,9,0,1.747720365,0.784,44,17.20547945,0.8,3.27,0,9,together,sales,low
1000029,male,36,3,1,0.167173252,0.56,31,10.19178082,0.096,3.07,1,11.3,married,sales,medium
1000030,female,46,25,1,0.303951368,1.264,32,16.54794521,0.8,3.15,1,9.5,married,human resources,low
1000031,male,30,8,1,2.127659574,0.768,24,12.38356164,0.82,3.44,1,9.8,together,computer services,medium
1000032,female,37,15,1,0.425531915,1.328,10,6.794520548,0.685,3.35,1,10,married,sales,medium
1000033,female,54,10,1,0.212765957,1.456,6,3.068493151,0.704,3.07,1,10.03333333,married,accounting,medium
1000034,female,49,10,1,0.395136778,1.904,34,7.452054795,0.708,3.23,1,10.9,married,sales,medium
1000035,female,64,8,2,0.440729483,1.36,17,4.712328767,1.14,3.06,1,10,married,accounting,medium
1000036,male,33,9,1,1.838905775,0.896,68,23.01369863,0.718,3.05,1,9.5,together,sales,low
1000037,male,46,10,1,0.364741641,1.392,19,12.60273973,0.48,2.77,0,9.4,married,human resources,medium
1000038,male,30,5,1,2.507598784,0.72,44,18.19178082,1,3.38,0,9.5,together,sales,medium
1000039,male,29,5,1,1.079027356,0.752,54,22.02739726,0.523,3.19,0,9.5,together,human resources,medium
1000040,female,37,9,1,0.243161094,1.696,10,4.054794521,0.66,3.17,1,9.5,married,marketing,low
1000041,male,32,6,1,1.094224924,0.64,47,18.4109589,0.46,3.29,1,10.6,together,sales,medium
1000042,female,29,10,0,0.668693009,1.136,11,3.506849315,0.646,3.56,1,11.6,together,marketing,medium
1000043,female,36,11,1,0.227963526,1.104,4,0.98630137,0.458,3.16,1,9.8,married,sales,medium
1000044,male,33,3,1,0.182370821,0.816,55,14.90410959,0.32,3.3,1,9.8,together,sales,medium
1000045,male,31,7,1,1.200607903,0.544,39,13.47945205,0.119,2.99,0,12.2,together,sales,medium
1000046,male,27,5,1,0.957446809,1.104,35,19.94520548,0.391,3.11,0,9.733333333,together,finances,low
1000047,male,34,4,1,1.504559271,0.496,48,17.64383562,0.37,3.01,0,11.2,together,marketing,medium
1000048,male,31,6,1,1.185410334,0.784,57,22.1369863,0.58,3.24,0,9.5,together,accounting,low
1000049,male,34,7,1,0.212765957,0.656,40,19.39726027,0.287,3.14,0,9.9,together,finances,low
1000050,male,25,7,1,0.607902736,0.48,27,11.83561644,0.031,3.3,0,12.2,together,computer services,medium
1000051,male,31,4,1,0.182370821,0.944,45,21.80821918,0.3,3.37,1,10.3,together,computer services,medium
1000052,male,33,7,1,1.595744681,0.72,35,14.79452055,0.35,3.09,0,11.6,together,marketing,high
1000053,male,35,5,1,1.990881459,0.8,26,19.7260274,0.884,3.05,1,9.1,together,sales,medium
1000054,male,32,7,1,0.243161094,0.624,10,13.5890411,0.48,3.3,1,9.6,together,sales,low
1000055,male,29,6,1,1.200607903,0.896,49,22.57534247,0.56,3.18,1,9.4,together,sales,low
1000056,male,29,5,1,0.227963526,0.352,11,8.98630137,-0.08,3.3,0,12.9,together,human resources,medium
1000057,male,30,5,1,0.288753799,0.608,40,12.93150685,0.074,3.32,1,11.8,together,finances,medium
1000058,male,31,5,1,2.051671733,0.96,50,17.09589041,0.784,3.39,0,9.9,together,human resources,medium
1000059,female,32,9,0,0.212765957,1.12,32,4.164383562,0.438,3.32,1,11.4,together,sales,medium
1000060,male,23,6,1,0.866261398,0.56,54,16.98630137,-0.024,3.27,0,12.9,together,human resources,high
